user_if_view: {"1":20547614,"0":50999}
user_if_buy: {"0":11046540,"1":9552073}
user_if_follow: {"0":15322713,"1":5275900}
user_if_remark: {"0":15688233,"1":4910380}
user_if_cart: {"0":20598613}
user_action_amt: {"597":287835,"709":266339,"11":212869,"10":212226,"12":210317,"13":204304,"14":204302,"8":203539,"9":200459,"17":197901,"15":195838,"7":195063,"6":187270,"16":186660,"21":184181,"18":182729,"19":177601,"23":175707,"22":173946,"5":170114,"619":168523,"20":168509,"585":158455,"25":157312,"24":153542,"28":151337,"30":150595,"4":149112,"648":144408,"26":143998,"27":143908,"33":142888,"31":142657,"32":138113,"478":137662,"29":135527,"38":129890,"34":129791,"35":127872,"42":125089,"3":124283,"39":120744,"43":120181,"503":119467,"36":114780,"47":112623,"395":111240,"44":111226,"37":110049,"55":105014,"45":104857,"431":104605,"40":104508,"57":104438,"882":101963,"226":101291,"2":97836,"51":97834,"46":96561,"59":94153,"48":92058,"41":91743,"114":89370,"378":89106,"231":88853,"433":88811,"96":87558,"85":87545,"237":87389,"291":87048,"72":86793,"93":86683,"134":86587,"67":86001,"66":85942,"50":85738,"49":85664,"277":85297,"53":83661,"418":83523,"61":83379,"144":82633,"83":82270,"129":81947,"68":81640,"54":81465,"1":81178,"64":81015,"103":80713,"106":80397,"60":80357,"52":80254,"387":78127,"202":78013,"325":77401,"58":77208,"242":77087,"209":74319,"73":74067,"551":73984,"56":72375,"81":72125,"150":71404,"139":71357,"108":71045,"63":71041,"318":71024,"276":70926,"206":70821,"272":70682,"282":70183,"339":69984,"92":69794,"74":69721,"363":69698,"62":69541,"82":69320,"88":67601,"70":67334,"162":67191,"217":66987,"80":66668,"112":66269,"69":65746,"354":64527,"65":64074,"91":63323,"194":63256,"381":63254,"146":63184,"186":61982,"216":61874,"189":61765,"259":61716,"126":60248,"357":60031,"248":59774,"163":59204,"123":58993,"151":58517,"124":58415,"170":58406,"362":57843,"102":57407,"201":57189,"79":57111,"185":56793,"78":56605,"87":56342,"175":56159,"330":54855,"355":54533,"322":54525,"321":54305,"176":54225,"90":53828,"84":53435,"341":53361,"148":53119,"86":53089,"305":52736,"143":52586,"142":52404,"71":52404,"99":52044,"117":51919,"127":51290,"200":51032,"220":50913,"101":50868,"94":50852,"303":50627,"115":50486,"109":50422,"342":50191,"104":49857,"76":49088,"304":48843,"121":48582,"75":48255,"215":48194,"77":47990,"270":47751,"105":47614,"135":47506,"119":47325,"174":46947,"229":46909,"107":46808,"374":46226,"132":46146,"116":46131,"324":46084,"182":46052,"168":45735,"195":45183,"97":45177,"140":44439,"218":44409,"198":43922,"156":43853,"158":43762,"130":43468,"253":43421,"251":43418,"159":42387,"295":42234,"239":42025,"154":40895,"196":40693,"89":40192,"113":40111,"172":39365,"160":39115,"262":38244,"110":38222,"169":37375,"235":36862,"234":36692,"118":36671,"177":36318,"181":36290,"193":35937,"122":35930,"133":35835,"100":35436,"319":35344,"334":35344,"137":35274,"128":35186,"184":34716,"274":34669,"145":34519,"252":34083,"95":33540,"138":32983,"136":32427,"131":31874,"164":31701,"245":30977,"345":30463,"284":30459,"238":29605,"161":29287,"221":29191,"316":28562,"125":28153,"98":28108,"240":28075,"152":27535,"165":25998,"261":25922,"211":25921,"167":24713,"203":24619,"205":24432,"197":23976,"166":23716,"233":23047,"227":22957,"280":22282,"157":21987,"192":21475,"173":20819,"306":19907,"222":19602,"241":19528,"111":18695,"236":18496,"188":18225,"286":17162,"230":16910,"153":16653,"178":15887,"179":15878,"191":15784,"187":13925,"263":13689,"147":13076,"141":12459,"171":12401,"149":12266,"296":10816,"223":9850,"120":9466,"224":9033,"208":7225,"183":5540,"269":5351,"190":5183}
user_view_amt: {"592":287835,"699":266339,"10":220449,"11":218692,"12":208272,"7":208204,"14":206354,"8":206312,"9":205222,"6":199755,"15":196997,"13":196933,"16":196410,"17":193788,"5":191161,"19":182362,"21":178054,"18":175761,"22":173230,"20":172358,"4":169013,"614":168523,"23":160514,"24":158611,"25":158556,"570":158455,"28":152503,"33":148248,"26":147542,"30":144609,"615":144408,"27":142823,"3":142410,"29":141810,"32":138269,"442":137662,"34":137601,"31":130339,"336":123345,"226":121375,"42":121360,"35":120479,"39":120326,"498":119467,"43":119316,"37":117234,"38":116654,"46":116026,"41":114071,"45":113859,"216":113536,"390":111240,"2":110934,"40":110145,"237":108596,"396":104605,"134":103860,"204":103543,"44":102689,"54":102427,"879":101963,"57":101216,"308":100939,"51":100753,"294":99470,"128":98197,"47":97825,"55":96038,"36":94360,"61":93363,"58":92352,"50":89667,"375":89106,"83":88869,"432":88811,"276":88628,"104":88203,"49":87995,"230":87531,"71":86751,"281":86334,"114":85369,"192":85134,"66":85108,"65":84974,"1":83660,"409":83523,"129":82295,"67":81672,"80":81623,"75":81177,"60":80859,"81":79200,"48":79011,"105":78473,"386":78127,"324":77401,"56":75666,"90":75519,"72":75264,"519":73984,"53":73827,"84":73441,"123":73131,"138":72795,"79":72648,"88":72335,"96":71810,"318":71024,"52":70750,"77":70513,"107":70271,"360":69698,"198":69296,"193":69173,"144":69093,"62":68974,"137":68419,"174":68411,"74":67531,"122":67016,"68":66987,"227":66551,"64":65609,"91":65459,"150":64602,"143":64546,"354":64527,"106":64506,"85":64410,"377":63254,"220":63108,"63":62716,"101":62534,"92":62155,"185":61982,"100":61706,"93":60919,"113":60456,"348":60031,"112":59549,"95":58905,"135":58760,"272":58577,"169":58056,"356":57843,"86":57102,"59":56785,"87":56424,"164":55417,"131":54585,"343":54533,"310":54525,"319":54305,"78":54124,"94":54040,"184":53880,"103":53846,"140":53653,"102":53500,"287":53362,"269":53102,"300":52736,"70":52356,"124":52004,"82":51831,"0":50999,"73":50815,"342":50191,"170":49895,"189":49889,"228":49028,"159":49013,"214":48874,"166":48843,"181":48193,"162":48105,"255":47826,"154":47501,"188":47123,"132":47097,"231":47086,"275":47018,"270":46656,"142":46606,"368":46226,"158":46146,"69":46073,"201":45740,"195":45034,"120":44401,"261":43872,"76":43499,"98":43091,"202":42385,"229":42173,"175":41103,"200":40855,"119":40286,"161":40136,"258":39812,"116":39577,"117":39255,"139":38960,"243":38809,"127":38554,"160":38165,"191":37985,"232":36692,"316":35344,"332":35344,"118":35191,"157":35013,"211":34969,"126":34851,"173":34225,"250":34083,"259":33686,"153":32108,"167":31803,"99":31018,"245":30977,"125":30837,"217":30464,"341":30463,"282":30459,"108":30308,"111":29976,"89":29649,"209":29444,"249":28900,"311":28562,"149":28075,"238":28075,"182":28040,"151":27828,"109":27816,"206":27742,"152":27205,"155":27086,"97":26485,"207":25921,"246":25192,"172":25155,"110":25008,"194":24964,"197":24905,"205":24808,"266":24026,"196":23689,"148":22620,"171":22521,"121":22432,"165":21905,"136":21594,"177":21125,"248":20965,"156":20757,"210":20454,"178":20090,"299":19907,"219":19906,"240":19528,"130":19472,"146":18851,"180":18786,"179":18646,"233":18496,"251":18226,"145":17899,"286":17162,"133":16835,"212":16129,"115":15678,"141":15158,"242":15057,"176":14523,"147":14170,"186":13925,"215":11025,"296":10816,"187":9981,"218":8737,"190":8061}
user_buy_amt: {"0":11046540,"1":5305797,"2":1509302,"3":741071,"4":691690,"6":570542,"5":304677,"14":203991,"7":154972,"8":33848,"11":11865,"13":7200,"10":6430,"9":6416,"16":2717,"12":1034,"18":468,"25":36,"20":17}
user_follow_amt: {"0":15322713,"1":1900727,"2":879804,"4":522118,"3":280959,"6":224362,"30":211646,"8":190428,"5":178691,"9":164321,"33":144408,"26":107397,"20":63349,"7":61672,"79":45034,"10":34862,"22":34775,"15":29141,"14":28278,"12":27840,"11":27718,"17":25712,"13":23148,"16":21710,"19":13483,"70":8061,"41":8050,"18":7235,"21":5495,"24":3975,"23":1225,"39":276}
user_remark_amt: {"0":15688233,"1":1910235,"2":1190611,"4":487102,"5":473565,"3":465682,"6":103816,"7":102134,"9":60228,"8":57677,"11":16844,"18":14645,"19":12762,"12":7648,"10":2103,"15":1548,"46":1129,"14":806,"20":444,"13":417,"17":388,"22":370,"16":226}
user_cart_amt: {"0":20598613}
